PLAYERID,PLAYER,SALARY,OPP,POS,TEAM,SCHEDULE_ID,PARTNERID,PA,1B,2B,3B,HR,RBI,R,SB,BB,IP,BBSP,K,W,ER,HA,HBP,QS,UNDERDOG,PRIZEPICKS,H,PARK,BASES,OUTS,BATK,HRRBI,PC,REFID,FPTS,FPTS/$,FLOOR,CEIL,POWN,SMASH,TOPVAL,TEAMOWN,DIFFERENCE,LEV,OWNERSHIP,RGID
3769530,"Spencer Steer",3400,MIL,3B,CIN,92824,179272,4.29,0.6,0.27,0.02,0.09,0.61,0.63,0.019,0.48,0,0,0,0,0,0,0,0,8.45,7.72,0.98,CIN,1.56,0,0.8224,2.22,,59,10.36,3.05,3.25,27.28,3.72,0.0173,0.0089,0.0597,-0.0424,1,,3769530
1452544,"Tyler Stephenson",2600,MIL,C,CIN,92824,79110,4.1,0.69,0.22,0,0.07,0.54,0.57,0.009,0.5,0,0,0,0,0,0,0,0,7.84,7.13,0.98,CIN,1.41,0,0.8721,2.09,,60,9.49,3.65,3.53,23.79,2.85,0.0173,0.0089,0.0597,-0.0424,1,,1452544
873104,"Nick Senzel",2900,MIL,OF/2B/3B,CIN,92824,79108,4.09,0.63,0.16,0,0.05,0.5,0.47,0.084,0.43,0,0,0,0,0,0,0,0,6.94,6.43,0.84,CIN,1.15,0,0.682,1.81,,61,8.53,2.94,2.45,21.99,3.81,0.0173,0.0089,0.0597,-0.0424,1,,873104
3673261,"Will Benson",2100,MIL,OF,CIN,92824,79119,3.77,0.51,0.16,0.01,0.06,0.48,0.42,0.022,0.43,0,0,0,0,0,0,0,0,6.34,5.77,0.74,CIN,1.1,0,0.9022,1.64,,62,7.73,3.68,0.77,21,0.96,0.0173,0.0089,0.0597,-0.0424,1,,3673261
4793712,"T.J. Hopkins",,MIL,,CIN,92824,n/a,3.67,0.42,0.18,0,0.07,0.48,0.36,0.001,0.35,0,0,0,0,0,0,0,0,5.75,5.23,0.67,CIN,1.06,0,0.643,1.51,,63,7.04,0,1.34,19.78,0.67,0.0173,0.0089,0.0597,-0.0424,1,,4793712
3202063,"Steven Kwan",2800,MIN,OF,CLE,92828,163666,4.71,0.73,0.17,0.03,0.05,0.38,0.43,0.066,0.49,0,0,0,0,0,0,0,0,7.31,6.72,0.98,MIN,1.36,0,0.5307,1.79,,64,8.66,3.09,2.18,23.3,1.9,0.0195,0.047,0.0273,-0.0078,2.4,,3202063
2038763,"Tyler Freeman",2000,MIN,SS,CLE,92828,119333,4.63,0.69,0.22,0,0.07,0.39,0.39,0.035,0.27,0,0,0,0,0,0,0,0,6.61,6.15,0.98,MIN,1.41,0,0.8097,1.76,,65,7.86,3.93,1.2,22.85,2.72,0.0195,0.047,0.0273,-0.0078,2.4,,2038763
16368,"Jose Ramirez",3300,MIN,3B,CLE,92828,38976,4.42,0.52,0.21,0.03,0.21,0.43,0.47,0.08,0.39,0,0,0,0,0,0,0,0,8.42,7.89,0.97,MIN,1.87,0,0.6177,1.87,,66,10.22,3.1,2.09,28.08,5.38,0.0195,0.047,0.0273,-0.0078,2.4,,16368
1044326,"Josh Naylor",2900,MIN,1B,CLE,92828,79223,4.26,0.55,0.19,0,0.18,0.39,0.42,0.016,0.3,0,0,0,0,0,0,0,0,7.16,6.69,0.92,MIN,1.65,0,0.7364,1.73,,67,8.64,2.98,1.22,25.58,0.89,0.0195,0.047,0.0273,-0.0078,2.4,,1044326
1452778,"Andres Gimenez",2500,MIN,2B,CLE,92828,82617,4.16,0.6,0.16,0.02,0.12,0.36,0.4,0.084,0.37,0,0,0,0,0,0,0,0,7.01,6.57,0.9,MIN,1.46,0,0.8957,1.66,,68,8.44,3.38,2.08,23.16,1.86,0.0195,0.047,0.0273,-0.0078,2.4,,1452778
