P,C/1B,2B,3B,SS,OF,OF,OF,UTIL,"","Instructions"
"","","","","","","","","","","1) Create a lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload"
"","","","","","","","","","","4) Maximum of 250 lineups per upload"
"","","","","","","","","",""
"","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
"","","","","","","","","","",91073-68523:Joe Musgrove,91073-68523,P,Joe,Joe Musgrove,Musgrove,25.714285714285715,7,7500,CHC@SD,SD,CHC,,,,,,P
"","","","","","","","","","",91073-66766:Adrian Houser,91073-66766,P,Adrian,Adrian Houser,Houser,22.5,6,7400,MIL@CIN,MIL,CIN,,,,,,P
"","","","","","","","","","",91073-53590:Nick Martinez,91073-53590,P,Nick,Nick Martinez,Martinez,12.2,20,7400,CHC@SD,SD,CHC,,,,,,P
"","","","","","","","","","",91073-119441:Alek Manoah,91073-119441,P,Alek,Alek Manoah,Manoah,18.833333333333332,12,7400,HOU@TOR,TOR,HOU,,,,Yes,,P
"","","","","","","","","","",91073-145625:Bailey Falter,91073-145625,P,Bailey,Bailey Falter,Falter,18,8,7300,DET@PHI,PHI,DET,,,,,0,P
"","","","","","","","","","",91073-5431:Adam Wainwright,91073-5431,P,Adam,Adam Wainwright,Wainwright,17,5,7300,STL@TEX,STL,TEX,,,,Yes,,P
"","","","","","","","","","",91073-79172:Luis Ortiz,91073-79172,P,Luis,Luis Ortiz,Ortiz,6.375,8,7300,DET@PHI,PHI,DET,,,,,0,P
"","","","","","","","","","",91073-5522:Zack Greinke,91073-5522,P,Zack,Zack Greinke,Greinke,20.916666666666668,12,7300,KC@MIA,KC,MIA,,,,,0,P
"","","","","","","","","","",91073-119416:Brandon Williamson,91073-119416,P,Brandon,Brandon Williamson,Williamson,22.75,4,7200,MIL@CIN,CIN,MIL,,,,,,P
"","","","","","","","","","",91073-11327:Matt Bush,91073-11327,P,Matt,Matt Bush,Bush,2.888888888888889,10,7100,MIL@CIN,MIL,CIN,IL,Shoulder,,,,P
"","","","","","","","","","",91073-21097:Taijuan Walker,91073-21097,P,Taijuan,Taijuan Walker,Walker,20.25,12,7100,DET@PHI,PHI,DET,,,,,0,P
"","","","","","","","","","",91073-12929:Jordan Lyles,91073-12929,P,Jordan,Jordan Lyles,Lyles,17.5,13,7100,KC@MIA,KC,MIA,,,,,0,P
"","","","","","","","","","",91073-17116:Jake Odorizzi,91073-17116,P,Jake,Jake Odorizzi,Odorizzi,21.130434782608695,23,7000,STL@TEX,TEX,STL,IL,Shoulder,,,0,P
"","","","","","","","","","",91073-163685:JP Sears,91073-163685,P,JP,JP Sears,Sears,24.545454545454547,11,7000,OAK@PIT,OAK,PIT,,,,Yes,,P
"","","","","","","","","","",91073-64488:Colin Rea,91073-64488,P,Colin,Colin Rea,Rea,20.6,10,7000,MIL@CIN,MIL,CIN,,,,,,P
"","","","","","","","","","",91073-53398:Kyle Hendricks,91073-53398,P,Kyle,Kyle Hendricks,Hendricks,20,2,6900,CHC@SD,CHC,SD,,,,Yes,,P
"","","","","","","","","","",91073-181794:Hogan Harris,91073-181794,P,Hogan,Hogan Harris,Harris,12.333333333333334,3,6900,OAK@PIT,OAK,PIT,,,,,0,P
"","","","","","","","","","",91073-102344:Brady Singer,91073-102344,P,Brady,Brady Singer,Singer,21.25,13,6900,KC@MIA,KC,MIA,,,,,0,P
"","","","","","","","","","",91073-79873:Dylan Covey,91073-79873,P,Dylan,Dylan Covey,Covey,10.25,4,6800,DET@PHI,PHI,DET,,,,,0,P
"","","","","","","","","","",91073-102574:Jake Woodford,91073-102574,P,Jake,Jake Woodford,Woodford,13.714285714285714,7,6800,STL@TEX,STL,TEX,IL,Shoulder,,,0,P
"","","","","","","","","","",91073-63136:Matthew Boyd,91073-63136,P,Matthew,Matthew Boyd,Boyd,22,12,6800,DET@PHI,DET,PHI,,,,,0,P
